CAROUSEL_NO,FLIGHT_NO,FDATE,STD,EOT,ECT,DESTINATION,GROUND,FLIGHT_SIZE,COUNTER_NO,PREDICT_NO
5,NX00615,20190529,2005,1805,1935,SJW,EGAS,M,16,221.4
10,CX00531,20190529,2010,1810,1940,WNZ,TIAS,S,24,101
9,TG00635,20190529,2010,1810,1940,CTU,EGAS,M,17,244.8
1,3K00722,20190529,2020,1820,1950,KIJ,TIAS,S,6,90
10,IT00307,20190529,2030,1830,2000,DXB,EGAS,S,18,93.6
6,Z205127,20190529,2030,1830,2000,TSN,EGAS,M,16,279
3,Z207127,20190529,2030,1830,2000,LHW,EGAS,S,18,21
10,QD00669,20190529,2040,1840,2010,SYD,EGAS,S,16,130
3,MM00860,20190529,2100,1900,2030,NTG,EGAS,M,18,268
4,PR00895,20190529,2100,1900,2030,CEB,EGAS,S,16,131.2
12,KA00483,20190529,2115,1915,2045,CJU,EGAS,S,18,72
9,CX00479,20190529,2135,1935,2105,MFM,TIAS,L,9,352.3
8,VN00573,20190529,2210,2010,2140,DMK,TIAS,M,8,230.1
9,CI00921,20190529,2220,2020,2150,KUL,EGAS,M,17,236.6
8,IT00537,20190529,2235,2035,2205,BKK,EGAS,M,16,212.4
2,OD00889,20190529,2325,2125,2255,HAN,TIAS,L,8,322.4
9,IT00541,20190529,2330,2130,2300,KMI,TIAS,M,11,271.8
4,CI00061,20190529,2335,2135,2305,WNZ,EGAS,S,17,183.6
8,CI00063,20190529,2335,2135,2305,BKK,TIAS,M,10,209.3
8,EK00367,20190529,2345,2145,2315,WEH,TIAS,L,11,331.2
